id,first_name,last_name,email,phone,country,state,city,region,birthday,gender,segment,labels,channel,meta,created_at
CUST024,First024,Last024,cust024@example.com,555-0024,DE,State024,City024,Region024,2025-05-24,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-02-23 09:00:00"
CUST025,First025,Last025,cust025@example.com,555-0025,FR,State025,City025,Region025,2025-05-25,male,Regular,newsletter,web,"{""source"":""demo""}","2025-02-24 09:00:00"
CUST026,First026,Last026,cust026@example.com,555-0026,AU,State026,City026,Region026,2025-05-26,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-03-10 09:00:00"
CUST027,First027,Last027,cust027@example.com,555-0027,BR,State027,City027,Region027,2025-05-27,other,New,newsletter,retail,"{""source"":""demo""}","2025-03-11 09:00:00"
CUST028,First028,Last028,cust028@example.com,555-0028,IN,State028,City028,Region028,2025-05-28,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-03-12 09:00:00"
CUST029,First029,Last029,cust029@example.com,555-0029,JP,State029,City029,Region029,2025-05-01,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-03-13 09:00:00"
CUST030,First030,Last030,cust030@example.com,555-0030,ZA,State030,City030,Region030,2025-05-02,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-03-14 09:00:00"
CUST031,First031,Last031,cust031@example.com,555-0031,US,State031,City031,Region031,2025-05-03,male,Regular,newsletter,web,"{""source"":""demo""}","2025-03-15 09:00:00"
CUST032,First032,Last032,cust032@example.com,555-0032,CA,State032,City032,Region032,2025-05-04,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-03-16 09:00:00"
CUST033,First033,Last033,cust033@example.com,555-0033,UK,State033,City033,Region033,2025-05-05,other,New,newsletter,retail,"{""source"":""demo""}","2025-03-17 09:00:00"
CUST034,First034,Last034,cust034@example.com,555-0034,DE,State034,City034,Region034,2025-05-06,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-03-18 09:00:00"
CUST035,First035,Last035,cust035@example.com,555-0035,FR,State035,City035,Region035,2025-05-07,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-03-19 09:00:00"
CUST036,First036,Last036,cust036@example.com,555-0036,AU,State036,City036,Region036,2025-05-08,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-03-20 09:00:00"
CUST037,First037,Last037,cust037@example.com,555-0037,BR,State037,City037,Region037,2025-05-09,male,Regular,newsletter,web,"{""source"":""demo""}","2025-03-21 09:00:00"
CUST038,First038,Last038,cust038@example.com,555-0038,IN,State038,City038,Region038,2025-05-10,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-03-22 09:00:00"
CUST039,First039,Last039,cust039@example.com,555-0039,JP,State039,City039,Region039,2025-05-11,other,New,newsletter,retail,"{""source"":""demo""}","2025-03-23 09:00:00"
CUST040,First040,Last040,cust040@example.com,555-0040,ZA,State040,City040,Region040,2025-05-12,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-03-24 09:00:00"
CUST041,First041,Last041,cust041@example.com,555-0041,US,State041,City041,Region041,2025-05-13,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-03-25 09:00:00"
CUST042,First042,Last042,cust042@example.com,555-0042,CA,State042,City042,Region042,2025-05-14,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-03-26 09:00:00"
CUST043,First043,Last043,cust043@example.com,555-0043,UK,State043,City043,Region043,2025-05-15,male,Regular,newsletter,web,"{""source"":""demo""}","2025-03-27 09:00:00"
CUST044,First044,Last044,cust044@example.com,555-0044,DE,State044,City044,Region044,2025-05-16,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-03-28 09:00:00"
CUST045,First045,Last045,cust045@example.com,555-0045,FR,State045,City045,Region045,2025-05-17,other,New,newsletter,retail,"{""source"":""demo""}","2025-03-29 09:00:00"
CUST046,First046,Last046,cust046@example.com,555-0046,AU,State046,City046,Region046,2025-05-18,male,Regular,"newsletter,loyalty",web,"{""source"":""demo""}","2025-03-30 09:00:00"
CUST047,First047,Last047,cust047@example.com,555-0047,BR,State047,City047,Region047,2025-05-19,female,VIP,newsletter,mobile,"{""source"":""demo""}","2025-03-31 09:00:00"
CUST048,First048,Last048,cust048@example.com,555-0048,IN,State048,City048,Region048,2025-05-20,other,New,"newsletter,loyalty",retail,"{""source"":""demo""}","2025-03-30 09:00:00"
CUST049,First049,Last049,cust049@example.com,555-0049,JP,State049,City049,Region049,2025-05-21,male,Regular,newsletter,web,"{""source"":""demo""}","2025-03-30 09:00:00"
CUST050,First050,Last050,cust050@example.com,555-0050,ZA,State050,City050,Region050,2025-05-22,female,VIP,"newsletter,loyalty",mobile,"{""source"":""demo""}","2025-03-30 09:00:00"
